aalii,
aaron,
abaca,
aback,
abaff,
abaft,
abama,
abase,
abash,
abask,
abate,
abave,
abaze,
abbas,
abbey,
abbie,
abbot,
abdal,
abdat,
abeam,
abear,
abele,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abhor,
abide,put up with something or somebody unpleasant
abidi,
abies,
abilo,
abkar,
abler,
ablow,
abmho,
abner,
abnet,
abode,
abody,
abohm,
aboil,
aboma,
aboon,
abord,
abort,
about,
above,an earlier section of a written text; appearing earlier in the same text; (in writing
abram,
abret,
abrim,
abrin,
abrus,
absit,
abuna,
abura,
abuse,
abuta,
abuzz,
abwab,
abysm,a bottomless gulf or pit; any unfathomable (or apparently unfathomable
abyss,
acana,
acapu,
acara,
acari,
acate,
accoy,
acedy,
acerb,
achar,
achen,
acher,
achor,
acier,
acker,
ackey,
aclys,
acmic,
acock,
acoin,
acold,
acoma,
acone,
acorn,
acrab,
acred,
acrid,
acroa,
acron,
acrux,
acryl,
actin,
acton,
actor,
acuan,
acute,
adage,
adapa,a Babylonian demigod or first man (sometimes identified with Adam
adapt,
adati,
adawe,
adawn,
adays,
addax,
added,
adder,
addie,
addle,
adead,
adeem,
adeep,
adela,
adept,
adfix,
adiel,
adieu,
adion,
adjag,
adlai,
adlay,
adlet,
adman,
admin,
admit,
admix,
adnex,
adobe,
adopt,"choose and follow; as of theories, ideas, policies, strategies or plans"
adore,
adorn,
adown,
adoxa,
adoxy,
adoze,
adpao,
adrip,
adrop,
adrue,
adult,
adunc,
adusk,
adust,
adyta,
adzer,
aedes,
aegis,
aegle,
aequi,
aeric,
aerie,
aevia,
aface,
afara,
afear,
affix,
afifi,
afire,
aflat,
aflow,
afoam,
afoot,traveling by foot; on foot; walking
afore,
afoul,
afret,
afric,
after,
agade,
again,
agama,small terrestrial lizard of warm regions of the Old World
agami,
agamy,
agape,
agasp,
agate,
agaty,
agave,
agaze,
agena,
agent,
agger,
aggie,
aggry,
aggur,
aghan,the ninth month of the Hindu calendar
agiel,
agile,
aging,
agist,
agita,
aglet,
agley,
aglow,softly bright or radiant
agnel,
agnes,
agnus,
agoge,
agoho,
agone,
agony,
agora,
agrah,
agral,
agree,be in accord; be in agreement
agria,
agrin,
agrom,
agsam,
aguey,
agush,
agust,
ahead,
aheap,
ahind,
ahint,
ahmed,
ahmet,
ahong,
ahsan,
ahull,
ahunt,
ahura,
ahush,
ahwal,
aider,
aides,
ailie,
aillt,
aimak,
aimee,
aimer,
ainoi,
airan,
airer,
aisle,
aitch,
aiwan,
aizle,
ajaja,
ajari,
ajava,
ajhar,
ajuga,
akala,
akali,
akasa,
akebi,
akeki,
akkad,
aknee,
akpek,
akule,
akund,
alack,
alada,
alain,
alaki,
alala,
alamo,a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
aland,
alani,
alans,
alarm,
alary,having or resembling wings
alate,
alawi,
alban,
albee,United States dramatist (1928-
albin,
album,
albus,
albyn,
alcae,
alces,
alcor,
alder,
aldim,
aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH
aldus,
aleak,
aleck,
aleft,
aleph,the 1st letter of the Hebrew alphabet
alert,
aleut,
alfet,
alfur,
algae,
algal,
algic,
algid,chilly
algin,
algol,
algor,
algum,
alias,
alibi,a defense of some offensive behavior or some failure to keep a promise etc.; exonerate by means of an alibi
alice,
alick,
alida,
alids,
alien,
align,
alike,
alima,
aline,
alish,
aliso,
alisp,
alist,
alite,
alive,
alkes,
alkyd,
alkyl,
allah,
allan,
allay,
allen,
aller,
alley,
allie,
allot,
allow,make it possible through a specific action or lack of action for something to happen
alloy,
allyl,
alman,
almon,
almud,
almug,
alnus,
alody,
aloed,
aloft,
alogy,
aloid,
aloin,
alois,
aloma,
alone,isolated from others; without any others being included or involved
along,
aloof,
alosa,
alose,
aloud,
alowe,
alpax,
alpen,
alpha,
alpid,
altar,
alter,
altho,
altin,
altun,
aluco,
alula,
alure,
aluta,
alvah,
alvan,
alvar,
alvin,
alvus,
alway,
amaas,
amadi,
amaga,
amain,
amala,
amang,
amani,
amapa,
amara,
amass,
amati,Italian violin maker in Cremona; taught the craft to Guarneri and Stradivari (1596-1684
amaze,
amban,
ambar,
ambay,
amber,
ambit,
amble,
ambon,
ambos,
ambry,
ameed,
ameen,
amelu,
amend,
amene,
ament,
amhar,
amice,
amide,any organic compound containing the group -CONH2
amido,
amigo,
amine,
amini,
amino,
amish,
amiss,
amita,
amity,
amman,the capital and largest city of Jordan
ammer,
amnia,
amnic,
amoke,
amole,
among,
amort,
amour,
amove,
amper,
ample,
amply,
ampul,
ampyx,
amsel,
amuck,
amula,
amuse,
amuze,
amvis,
amylo,
anabo,
anama,
anana,
anasa,
ancha,
ancon,
andre,
anear,
anele,
anend,
anent,
angel,
anger,
angie,
angka,
angle,
angor,
angry,
angst,
angus,
aniba,
anice,
anigh,
anile,of or like a feeble old woman
anima,(Jungian psychology
anime,
animi,
anion,
anise,
anita,
anjan,
anjou,a former province of western France in the Loire valley
